PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
0,5.43,2.85,0.5,0.33,253,31.0,75.0,foc,y/h,free,y/u,"211.87, 723.35","1777.71, 414.59",46.0,11.48085857196732,0.0,0.0981446,0.0320+-0.0002,0.6987+-0.0000
0,5.43,2.85,0.5,0.33,169,18.0,75.0,foc,y/h,free,y/u,"148.00, 743.60","1777.71, 414.59",46.0,11.45511146186242,0.0,0.0981446,0.0335+-0.0007,0.7024+-0.0037
3,5.43,2.85,0.5,0.33,85,31.0,75.0,foc,y/h,free,y/u,"339.72, 186.57","2877.66, 195.43",46.0,11.43021252987408,0.0,0.0981446,0.0235+-0.0002,0.0856+-0.0261
4,5.43,2.85,0.5,0.33,1,31.0,75.0,foc,y/h,free,y/u,"1253.73, 400.55","2877.66, 195.43",46.0,11.40496291072325,0.0,0.0981446,0.0906+-0.0000,
0,5.43,2.85,0.5,0.33,253,31.0,75.0,foc,y/h,free,y/u,"211.87, 723.35","1777.71, 414.59",46.0,11.48085857196732,0.0,0.0981446,0.0323+-0.0005,0.7024+-0.0037
0,5.43,2.85,0.5,0.33,169,18.0,75.0,foc,y/h,free,y/u,"148.00, 743.60","1777.71, 414.59",46.0,11.45511668000274,0.0,0.0981446,0.0332+-0.0000,0.7024+-0.0037
3,5.43,2.85,0.5,0.33,85,31.0,75.0,foc,y/h,free,y/u,"309.00, 186.38","2877.66, 195.43",46.0,11.43021932524962,0.0,0.0981446,0.0237+-0.0000,0.1116+-0.0000
4,5.43,2.85,0.5,0.33,1,31.0,75.0,foc,y/h,free,y/u,"1320.74, 433.92","2877.66, 195.43",46.0,11.40496676707746,0.0,0.0981446,0.0906+-0.0000,
0,5.428523758938821,3.207669876100309,0.5649153488769884,0.26821114998985773,602,97.92951157434999,65.69694938951247,distr,y/u,free,e/s,"283.37, 226.93","561.99, 775.95",47.283617323569544,12.173678913858938,0.191025,0.290773,0.3962+-0.2789,0.3726+-0.0016
0,5.43,3.21,0.56,0.27,601,97.0,65.0,distr,y/u,free,e/s,"283.37, 226.93","561.99, 775.95",47.0,12.17363616294346,0.176811,0.276565,0.3586+-0.2634,0.3726+-0.0016
3,5.43,3.21,0.56,0.27,401,97.0,65.0,distr,y/u,free,e/s,"393.08, 160.03","2878.52, 194.36",47.0,12.11337732946071,0.149088,0.248781,0.3285+-0.2333,0.4683+-0.4683
5,5.43,3.21,0.56,0.27,201,97.0,65.0,distr,y/u,free,e/s,"2924.57, 195.02","2878.52, 194.36",47.0,12.0550202561704,,,,
5,5.43,3.21,0.56,0.27,1,97.0,65.0,distr,y/u,free,e/s,"2924.57, 195.02","2878.52, 194.36",47.0,11.99912917903728,,,,
0,5.43,3.21,0.56,0.27,601,97.0,65.0,distr,y/u,free,e/s,"283.37, 226.93","561.99, 775.95",47.0,12.17363616294346,0.258954,0.358884,0.3653+-0.1250,0.3726+-0.0016
3,5.43,3.21,0.56,0.27,401,97.0,65.0,distr,y/u,free,e/s,"400.00, 200.00","2878.52, 194.36",47.0,12.11335617084183,0.107051,0.206887,0.1678+-0.0726,0.4762+-0.4762
3,5.43,3.21,0.56,0.27,201,97.0,65.0,distr,y/u,free,e/s,"283.37, 226.93","2878.52, 194.36",47.0,12.05501105407384,0.0994751,0.199453,0.2864+-0.0089,0.4785+-0.4785
3,5.43,3.21,0.56,0.27,1,97.0,65.0,distr,y/u,free,e/s,"283.37, 226.93","2878.52, 194.36",47.0,11.99911534226091,0.0,0.0981446,0.4410+-0.1818,0.8817+-0.0385
0,5.43,3.21,0.56,0.27,601,97.0,65.0,distr,y/u,free,e/s,"283.37, 226.93","561.99, 775.95",47.0,12.17363616294346,0.258954,0.358884,0.4159+-0.3436,0.3710+-0.0000
3,5.43,3.21,0.56,0.27,401,97.0,65.0,distr,y/u,free,e/s,"386.67, 164.94","2878.52, 194.36",47.0,12.11336318531861,0.136102,0.236078,0.6483+-0.0351,0.9140+-0.0217
3,5.43,3.21,0.56,0.27,201,97.0,65.0,distr,y/u,free,e/s,"386.67, 164.94","2878.52, 194.36",47.0,12.05502495871931,0.0413775,0.141115,0.6871+-0.0117,0.0000+-0.0000
3,5.43,3.21,0.56,0.27,1,97.0,65.0,distr,y/u,free,e/s,"386.67, 164.94","2878.52, 194.36",47.0,11.99915233749604,0.0,0.0981446,0.4881+-0.2107,0.4356+-0.4356
0,7.006962321560447,4.448633208521768,0.6618493277433234,0.3565808487410934,496,76.12080139715637,75.17410023591806,free,e/u,free,e/s,"801.43, 728.17","364.20, 741.87",35.49806475904165,11.766057459300924,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,7.01,4.45,0.66,0.36,495,76.0,75.0,free,e/u,free,e/s,"801.43, 728.17","364.20, 741.87",35.0,11.76602081560001,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,7.01,4.45,0.66,0.36,330,76.0,75.0,free,e/u,free,e/s,"801.43, 728.17","364.20, 741.87",35.0,11.71598750822419,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,7.01,4.45,0.66,0.36,165,76.0,75.0,free,e/u,free,e/s,"801.43, 728.17","364.20, 741.87",35.0,11.66748126337615,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,7.01,4.45,0.66,0.36,495,76.0,75.0,free,e/u,free,e/s,"801.43, 728.17","364.20, 741.87",35.0,11.76602081560001,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,7.01,4.45,0.66,0.36,330,76.0,75.0,free,e/u,free,e/s,"801.43, 728.17","364.20, 741.87",35.0,11.71597905329792,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,7.01,4.45,0.66,0.36,165,76.0,75.0,free,e/u,free,e/s,"801.43, 728.17","364.20, 741.87",35.0,11.66748415604963,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,7.01,4.45,0.66,0.36,495,76.0,75.0,free,e/u,free,e/s,"801.43, 728.17","364.20, 741.87",35.0,11.76602081560001,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,7.01,4.45,0.66,0.36,330,76.0,75.0,free,e/u,free,e/s,"801.43, 728.17","364.20, 741.87",35.0,11.71599642590426,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,7.01,4.45,0.66,0.36,165,76.0,75.0,free,e/u,free,e/s,"801.43, 728.17","364.20, 741.87",35.0,11.66750296944362,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,5.318901743927996,2.643982490814044,0.6058907810848208,0.3594927216350631,691,56.63762946765985,99.24970388556865,free,y/s,distr,y/h,"1466.40, 709.97","2587.67, 305.43",43.64962801963215,11.749144629224999,0.0,0.0981446,0.1653+-0.0031,0.0000+-0.0000
0,5.32,2.64,0.61,0.36,690,56.0,99.0,free,y/s,distr,y/h,"1466.40, 709.97","2587.67, 305.43",43.0,11.74909577111465,0.0,0.0981446,0.2129+-0.0286,0.0000+-0.0000
0,5.32,2.64,0.61,0.36,460,56.0,99.0,free,y/s,distr,y/h,"324.43, 173.64","2587.67, 305.43",43.0,11.67981141574566,0.858885,0.958622,0.0311+-0.0311,0.0176+-0.0047
0,5.32,2.64,0.61,0.36,230,56.0,99.0,free,y/s,distr,y/h,"324.43, 173.64","2587.67, 305.43",43.0,11.61346666088073,0.0257282,0.125623,0.1307+-0.0193,0.0217+-0.0039
0,5.32,2.64,0.61,0.36,690,56.0,99.0,free,y/s,distr,y/h,"1466.40, 709.97","2587.67, 305.43",43.0,11.74909577111465,0.0,0.0981446,0.2897+-0.0119,0.0000+-0.0000
0,5.32,2.64,0.61,0.36,460,56.0,99.0,free,y/s,distr,y/h,"326.49, 173.80","2587.67, 305.43",43.0,11.67981100928126,0.874377,0.974272,0.0715+-0.0158,0.0143+-0.0005
0,5.32,2.64,0.61,0.36,230,56.0,99.0,free,y/s,distr,y/h,"326.49, 173.80","2587.67, 305.43",43.0,11.61347476533578,0.0,0.0981446,0.0954+-0.0007,0.0191+-0.0042
0,5.32,2.64,0.61,0.36,690,56.0,99.0,free,y/s,distr,y/h,"1466.40, 709.97","2587.67, 305.43",43.0,11.74909577111465,0.0,0.0981446,0.2511+-0.0327,0.0000+-0.0000
0,5.32,2.64,0.61,0.36,460,56.0,99.0,free,y/s,distr,y/h,"324.43, 173.64","2587.67, 305.43",43.0,11.67978757790334,0.901855,1.0,0.1298+-0.0228,0.0130+-0.0006
