PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
5,5.834631316670523,2.04585786124272,0.6650936978145694,0.2296431734804825,196,71.16647338033039,54.16753955821415,foc,y/s,foc,y/u,"2956.35, 197.28","2907.69, 205.25",90.94196390809525,11.09386374,,,,
5,5.898850883435327,2.3907095145599837,0.5024672492227489,0.2278972359674148,1,37.61667128677432,59.980140211505216,free,e/s,foc,y/u,"2747.17, 193.79","2889.94, 193.49",55.062216843000506,12.21112706,,,,
0,5.050338659307087,3.694651843641432,0.5333995151828725,0.3883014024577547,403,33.634744625464386,58.56349801221342,free,y/h,foc,y/h,"2016.6, 417.93","1559.79, 221.11",83.74629996561511,12.28209271,,,,
0,5.172033430355185,4.027244107802997,0.7437985657177283,0.3436961757666688,485,45.91772290580832,42.26819647164798,foc,y/s,free,y/u,"2243.24, 545.97","2157.96, 672.09",81.96814445856093,12.12247868,,,,
5,5.970553979840532,3.047781657904324,0.6928415871529398,0.2631725550601698,428,56.73555129803384,78.35809659361466,free,e/s,foc,e/h,"2830.16, 196.56","2851.44, 198.07",78.82988932618588,11.87175845,,,,
3,5.86937114607779,3.47059208991185,0.7083209045810364,0.3346437653190304,335,85.31709407981991,94.64534533277724,free,e/s,foc,y/u,"487.53, 171.67","2889.94, 193.49",78.98780852111462,12.30781347,,,,
2,5.057890240909096,4.001586756049363,0.6795841942700217,0.3921004050309667,363,77.99747941815642,48.07191165945331,distr,e/h,distr,e/s,"496.61, 196.7","2524.23, 202.14",91.8330769381022,11.42146666,,,,
0,5.151233468790871,3.5409453593472,0.7392722606248373,0.3498296527764759,637,60.837244880513495,42.27269050376479,free,e/h,foc,e/s,"107.37, 392.88","2588.26, 228.29",85.21071621173776,11.60913267,,,,
0,5.127071511986502,2.3365612773176947,0.737254355404494,0.3603736966522396,460,45.940292210094015,59.8786959079758,free,y/s,distr,y/h,"324.43, 173.64","2587.67, 305.43",57.28535560927173,11.67978758,,,,
0,5.036228891390477,3.905263169988725,0.5911365321407542,0.3711956192902592,229,58.40913892856,93.49823689644774,free,e/s,free,e/h,"2654.51, 164.83","1400.13, 767.97",64.35959456806046,11.1623174,,,,
