PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2,SCS,FTG
0,5.014712939134772,2.0212876324434013,0.7612304579150169,0.1352978881073785,602,99.91739314265932,35.39319869077323,distr,y/u,free,e/s,"283.37, 226.93","561.99, 775.95",67.34864611060283,12.17367891,,,,,0.5124303837499998,0.2535186738095238
0,5.004748284335829,2.111027019422875,0.5639486311140404,0.2118062232892048,601,99.83496399280251,88.98085222135335,distr,y/u,free,e/s,"283.37, 226.93","561.99, 775.95",38.12429087886416,12.17363616,,,,,0.5465839813095237,0.2822904488095239
3,5.28364121965297,2.041529373370256,0.7810880305984111,0.3850265098184054,401,47.15457479635087,35.50288561914287,distr,y/u,free,e/s,"393.08, 160.03","2878.52, 194.36",39.00126048743715,12.11337733,,,,,0.51759175719,0.2348316666666666
0,5.004748284335829,2.111027019422875,0.5639486311140404,0.2118062232892048,601,99.83496399280251,88.98085222135335,distr,y/u,free,e/s,"283.37, 226.93","561.99, 775.95",38.12429087886416,12.17363616,,,,,0.5465839813095237,0.2822904488095239
3,5.025387774097997,2.024378428569952,0.6611285775091793,0.3671691074464361,1,74.94386151079662,30.110675550627928,distr,y/u,free,e/s,"283.37, 226.93","2878.52, 194.36",88.21338979265201,11.99911534,,,,,0.5664306531899994,0.2160497500000001
0,5.004748284335829,2.111027019422875,0.5639486311140404,0.2118062232892048,601,99.83496399280251,88.98085222135335,distr,y/u,free,e/s,"283.37, 226.93","561.99, 775.95",38.12429087886416,12.17363616,,,,,0.5465839813095237,0.2822904488095239
3,5.057745442267806,2.258546710819361,0.7742624636298426,0.3854637454421728,401,57.13415497471358,41.7058239239465,distr,y/u,free,e/s,"386.67, 164.94","2878.52, 194.36",86.80840636176669,12.11336319,,,,,0.582816367,0.2570619166666665
3,5.064573507496875,2.0517874026747225,0.6784979421604685,0.3572336494627892,201,57.678289058495096,30.19579374613699,distr,y/u,free,e/s,"386.67, 164.94","2878.52, 194.36",88.35452653304795,12.05502496,,,,,0.6209869989999997,0.2357427499999999
3,5.054991638348356,2.017200458663443,0.7792140295764804,0.3403823823096649,1,76.94960344791592,37.68726996680512,distr,y/u,free,e/s,"386.67, 164.94","2878.52, 194.36",38.039973845527165,11.99915234,,,,,0.4873855681899995,0.2385415833333332
0,5.021604118774829,2.1769969945178507,0.623116384517711,0.3901210782467898,541,32.25432883118399,30.135677031762057,distr,e/u,free,e/u,"3115.69, 584.43","138.53, 411.75",76.56248929155153,11.22286933,,,,,0.4876464635933329,0.4087096464285711
0,6.636884947315563,2.007734001685348,0.7762550712562597,0.3961082670456625,540,32.20683824152805,48.198289829563066,distr,e/u,free,e/u,"3115.69, 584.43","138.53, 411.75",77.7166788324207,11.22282963,,,,,0.2071353588785713,0.3371179880952381
0,5.015824556162411,2.1313314980493656,0.7939406122982242,0.1299710932677089,360,99.1727399001057,42.85966481683596,distr,e/u,free,e/u,"925.36, 181.87","138.53, 411.75",97.61035587194183,11.16857777,,,,,0.4028218130590474,0.3247065333333333
0,6.636884947315563,2.007734001685348,0.7762550712562597,0.3961082670456625,540,32.20683824152805,48.198289829563066,distr,e/u,free,e/u,"3115.69, 584.43","138.53, 411.75",77.7166788324207,11.22282963,,,,,0.2071353588785713,0.3371179880952381
0,5.047560989156869,2.0936867829139785,0.5385466208224438,0.3986455960546644,360,51.07733046125258,40.00244427286933,distr,e/u,free,e/u,"1909.3, 165.27","138.53, 411.75",90.59721087451496,11.16857676,,,,,0.4903432727658329,0.4041712214285712
0,6.636884947315563,2.007734001685348,0.7762550712562597,0.3961082670456625,540,32.20683824152805,48.198289829563066,distr,e/u,free,e/u,"3115.69, 584.43","138.53, 411.75",77.7166788324207,11.22282963,,,,,0.2071353588785713,0.3371179880952381
0,5.146407483696233,2.071553827977575,0.7887973680307893,0.3987429940206636,360,50.78081898972726,34.80433706968904,distr,e/u,free,e/u,"548.54, 194.9","138.53, 411.75",73.77821301879811,11.16858303,,,,,0.4849601445166662,0.285062788095238
0,5.137375383409272,4.398427717027367,0.5417084557610455,0.3955407889391956,428,96.72553403366264,36.095669145515615,distr,e/u,free,y/h,"1867.55, 234.08","2356.35, 560.55",36.073349337673854,11.9281727,,,,,0.5420066963523804,0.4128119238095237
0,5.050145866564081,4.494057815592884,0.5469508841086714,0.3913899495521011,427,98.59536111137754,30.201020740942617,distr,e/u,free,y/h,"1867.55, 234.08","2356.35, 560.55",37.52962485804304,11.92814216,,,,,0.5430262013523803,0.3966917238095238
3,5.012194105885198,2.531378066092361,0.7885571406953342,0.3958137386091677,143,57.104833581052,30.15965158489955,distr,e/u,free,y/h,"489.61, 175.89","2886.28, 195.34",81.99058028570715,11.8433051,,,,,0.6004961043799997,0.2060605
0,5.050145866564081,4.494057815592884,0.5469508841086714,0.3913899495521011,427,98.59536111137754,30.201020740942617,distr,e/u,free,y/h,"1867.55, 234.08","2356.35, 560.55",37.52962485804304,11.92814216,,,,,0.5430262013523803,0.3966917238095238
