PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
5.0,5.021857244201767,3.997246925750302,0.7647390313087443,0.2773026529867751,462.0,66.63363431901885,89.87224806863074,2.0,0.0,1.0,1.0,1.0,2.0,2594.32,190.47,2839.13,209.03,55.1606448647523,11.94019989,0.9813983125000001,0.01089725
0.0,7.372008967045543,3.5268880222823396,0.5704575856082631,0.20505770860030825,583.0,96.99377353214265,63.65424954032977,2.0,1.0,1.0,2.0,1.0,0.0,110.69,488.87,519.32,262.95,81.5977368014479,11.10892004,0.5115576915833329,0.00817425
0.0,5.001526340653041,3.9980089439509254,0.7465635641438193,0.37593586713609195,110.0,35.95652584893602,38.03090226712866,0.0,0.0,0.0,2.0,0.0,2.0,345.53,169.44,1596.1,315.44,56.40109601339689,12.1588767,0.5248162539999994,0.005821749999999999
0.0,7.326969221118913,3.928762417719489,0.5771991605219826,0.3894492577169916,165.0,56.02384497996205,32.35555298785362,2.0,1.0,2.0,2.0,1.0,1.0,801.43,728.17,364.2,741.87,36.24365429950083,11.66748416,0.3487977346899996,0.00041050000000000006
5.0,6.046660384070019,2.191513631446089,0.6607313381254293,0.319870252406957,170.0,80.2485475095616,58.06726365291884,0.0,1.0,1.0,2.0,1.0,0.0,2700.97,187.68,2876.2,198.24,78.60801104094216,12.19910432,1.0,0.0
0.0,5.229201806200447,2.2910845740360317,0.6685074724902743,0.3574385948421585,518.0,32.033290810031176,49.288415480377736,1.0,1.0,0.0,2.0,0.0,1.0,3669.82,251.12,3541.71,676.44,54.797228501005364,11.68937762,0.7202524389166666,0.021973699999999995
0.0,5.006238844353322,4.029575422448081,0.5322556897165198,0.3414061714777342,600.0,34.0858437561254,39.740901992764606,0.0,0.0,0.0,1.0,1.0,1.0,3059.04,338.15,2547.95,572.69,77.91972687310168,11.17758122,0.7195094391666668,0.006831666666666668
0.0,6.549547674088213,2.0545755948326407,0.5431380449027551,0.11429890341738325,495.0,99.91841980126266,92.70788229682967,2.0,1.0,2.0,2.0,1.0,1.0,801.43,728.17,364.2,741.87,59.7149929444492,11.76602082,0.4088783617606663,0.05578519999999999
1.0,6.405775737723811,3.9014993073674247,0.5346036676909667,0.37990754118187897,1.0,62.352995237638766,37.468845623268834,2.0,1.0,1.0,2.0,1.0,0.0,110.69,488.87,519.32,262.95,46.715859750950024,11.2621159,0.3463358629999997,0.13633200000000006
0.0,6.537990147227469,2.043107102807159,0.6345684690417803,0.2906880321018817,405.0,99.21709917236544,61.39420104152998,2.0,0.0,1.0,2.0,1.0,2.0,4435.4,584.89,110.12,754.44,81.67202734521989,12.36323709,0.3731942200699997,0.07952699166666666
0.0,5.002015335431762,3.5305380634610297,0.5200650630152394,0.2286179474983909,558.0,39.82708570166636,95.50532870421266,2.0,0.0,0.0,2.0,1.0,0.0,3138.2,228.91,1217.09,746.95,77.75898661696152,12.25219469,0.6276068144999997,0.014267583333333339
0.0,7.21203428512588,4.451118685164883,0.6775790837769091,0.34458542376081785,498.0,30.307603906649494,32.194602548988016,0.0,0.0,0.0,1.0,1.0,1.0,4368.95,701.34,2229.06,294.91,82.3931424364368,12.31849178,0.5145243323349996,0.03113532380952381
0.0,5.031031969282339,2.124815005161131,0.7953462095658872,0.26254380456433124,431.0,99.08889892723894,46.854104745190654,0.0,0.0,2.0,1.0,0.0,1.0,3754.34,789.02,176.55,363.53,75.97512373578957,11.15689104,0.4599378678714281,0.30877704999999983
0.0,5.059342559875047,2.0836862159954106,0.5491236605583276,0.38995707265402113,419.0,58.36581265296044,38.094642513987154,1.0,0.0,2.0,0.0,0.0,1.0,897.86,674.11,1003.85,774.62,38.19039534121431,11.48857856,0.48571257501999954,0.4019074238095237
4.0,5.084090562290002,3.9895625566989485,0.5548017771254843,0.39520680824811155,1.0,58.70874001567893,93.37850312444148,2.0,1.0,1.0,2.0,1.0,0.0,2628.06,190.91,2882.69,209.97,42.89465460883655,11.09797801,0.5517344957999996,0.04767735
0.0,5.088719228009474,4.001383384791305,0.5326464366308874,0.3898200312824187,376.0,54.15766105351367,84.9153087062034,0.0,1.0,0.0,1.0,0.0,0.0,3681.29,733.16,755.82,276.56,82.26030617821989,11.31857221,0.5383054718999994,0.023287585714285703
2.0,7.289613077735817,2.8247664550780565,0.6498832530203454,0.39722761677577395,171.0,73.38031763173036,88.35350706703596,1.0,1.0,2.0,0.0,1.0,0.0,387.72,259.61,2095.46,212.76,77.72751696613359,12.37086394,0.5155029736899995,0.023897500000000026
0.0,5.964458138136807,3.4573676326413465,0.7597001556142563,0.190762536451535,693.0,78.22696065462503,66.13117578351202,2.0,0.0,1.0,1.0,1.0,2.0,2435.56,591.61,1462.01,536.68,78.59761709024613,12.00947781,0.78046639288,0.056431983333333366
0.0,5.2105495271705395,3.5254274781623285,0.6318016948998527,0.3406640558668225,662.0,76.02252959713289,38.102818208634666,1.0,1.0,1.0,1.0,1.0,1.0,3648.55,292.68,2405.18,406.77,76.81064905081028,12.20243495,0.6333283623769836,0.17195374444444445
0.0,7.443952009882838,2.838071724266829,0.6304860405100956,0.2885818944024565,380.0,48.45674275163283,62.62409038682692,0.0,0.0,1.0,2.0,0.0,0.0,2184.49,263.17,70.15,332.47,78.93625113765083,11.47632012,0.4746555541199996,0.04058970238095237
0.0,5.270053806558843,2.0717858035858403,0.7444413223802683,0.38373717512042094,1.0,61.055653596324674,53.0750919404334,2.0,1.0,1.0,0.0,1.0,2.0,394.74,767.75,1983.4,299.33,38.4328488212427,11.75540571,0.47205077999999945,0.007988
0.0,6.537990147227469,2.043107102807159,0.6345684690417803,0.2906880321018817,405.0,99.21709917236544,61.39420104152998,2.0,0.0,1.0,2.0,1.0,2.0,4435.4,584.89,110.12,754.44,81.67202734521989,12.36323709,0.3731942200699997,0.07952699166666666
4.0,5.1721336218590555,2.8281907524869867,0.7070880979604958,0.3634766157849011,120.0,81.17808724162666,41.78002476383162,2.0,0.0,0.0,2.0,0.0,0.0,1100.11,174.04,2892.44,200.54,73.6416559472841,11.51347202,0.8162808265000007,0.01197050000000001
0.0,5.002477780065027,2.1946919815923773,0.5858927588472462,0.398429228045661,316.0,50.192840939526114,30.41562797022777,1.0,0.0,2.0,1.0,1.0,0.0,833.55,205.47,2652.23,681.42,85.07565675874004,11.42254907,0.5632853175783328,0.39041830714285697
0.0,6.444187274685492,2.1506835356581937,0.679461182354812,0.39552580572644314,378.0,99.84357901831714,69.81567279036591,2.0,1.0,1.0,2.0,0.0,1.0,4161.81,215.39,2432.66,613.06,59.05049941437665,12.37729112,0.623903243516666,0.21400332023809537
0.0,7.061113110821922,3.613667867453494,0.5406628454545571,0.3798718344025846,385.0,39.09053382984183,54.356161625138895,0.0,0.0,0.0,0.0,0.0,2.0,2974.93,410.44,3634.84,277.1,77.36620496681606,12.30329733,0.5706972681899992,0.0008160000000000001
0.0,5.029745725134223,4.03136655006193,0.5534520948224637,0.3994528284971216,415.0,57.144629257103915,96.10488984685793,2.0,1.0,0.0,0.0,1.0,1.0,3522.42,761.63,2418.01,668.18,83.96470303059395,12.32257271,0.9250557586666679,0.028681402380952382
0.0,5.0466182234323576,2.135857529012456,0.7921366884687032,0.3933015900752133,571.0,63.45209421850913,95.85060198743686,1.0,1.0,2.0,0.0,0.0,1.0,4231.44,255.66,1354.43,361.91,79.57962384803024,11.53255844,0.5518065007295234,0.3851547749999999
5.0,6.450432654375665,2.393147501876772,0.6769264454400333,0.2545895768109311,214.0,37.14094073644232,59.59911628819358,2.0,1.0,1.0,0.0,1.0,0.0,2830.16,196.56,2851.44,198.07,77.07538969053181,11.80999021,1.0,0.0
0.0,5.017935388337129,3.714066187597507,0.5672014977203984,0.35401223477744453,578.0,34.37523451732018,42.61427239261496,0.0,0.0,0.0,0.0,0.0,2.0,2974.93,410.44,3634.84,277.1,85.88727433463941,12.36176512,0.8228999080833341,0.005113766666666666
0.0,5.231351032837112,2.1633365332512877,0.5232903957255932,0.38279408079943245,186.0,48.29698184058517,39.57590760712334,2.0,0.0,0.0,2.0,1.0,0.0,3138.2,228.91,1217.09,746.95,78.1862625875848,12.14182164,0.5428776869999993,0.0041290833333333336
