PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
0.0,5.839685679497525,3.343594629192226,0.7924482547723816,0.3729848020040036,1.0,32.661971222184555,35.16536832202863,2.0,0.0,0.0,0.0,0.0,0.0,2016.6,417.93,1559.79,221.11,97.82373834130546,12.1628886,0.40329899716999956,0.0014065
0.0,5.003025567724731,3.9231186208391833,0.7895506838500177,0.38266740764043233,169.0,42.04172789851459,45.35012068752713,0.0,1.0,0.0,0.0,0.0,0.0,331.56,160.89,2208.45,330.22,88.46294434782274,11.35344167,0.5670740669999994,0.0035376666666666655
0.0,5.019041326312914,3.4800354381703524,0.6673322588888004,0.2612181082481271,642.0,63.49782357488536,65.23463758199277,2.0,1.0,1.0,0.0,1.0,0.0,1467.38,280.01,607.4,734.15,78.68364960674347,11.93622719,0.8261723913333339,0.09132783035714284
5.0,6.056730258966344,2.023648966989121,0.6882756072657884,0.16880782155286006,1.0,76.36076697684148,46.441107335934184,2.0,1.0,0.0,2.0,0.0,0.0,2672.0,192.59,2857.59,200.51,72.03057286940748,11.50954493,1.0,0.0
0.0,6.80967432369062,2.3294957729896857,0.5369704552824828,0.3823796453195626,440.0,30.889370352599407,86.89753571618421,0.0,0.0,2.0,1.0,1.0,1.0,2701.9,163.62,1449.88,242.42,93.40988915358781,11.12844566,0.45093508665476173,0.2174249249999999
3.0,5.188435039888335,3.8614078440352007,0.7856416806223074,0.3735970020623443,115.0,97.41089727250514,36.46865858461464,2.0,1.0,1.0,2.0,1.0,0.0,676.97,190.41,2882.69,209.97,70.64738861167183,11.12849979,0.6058977589999994,0.045326500000000026
0.0,6.328759720552002,2.0583134429840846,0.6320325595032762,0.38116924202155344,116.0,42.645858888483524,58.803599044124326,2.0,1.0,0.0,1.0,1.0,0.0,2970.74,312.58,403.78,753.84,98.24905866567126,11.12666509,0.3904221814466663,0.00026599999999999996
1.0,5.048321321802219,2.96411406734485,0.5393590162975049,0.3951405388393737,270.0,36.91096287489962,94.49778826516902,2.0,0.0,1.0,2.0,1.0,2.0,615.86,192.81,1142.11,759.64,91.12206608321826,12.32227142,0.6688936001424998,0.3818580000000001
2.0,5.666871072300601,3.944549983355417,0.6780183008844459,0.35586288766263713,345.0,62.663974526137125,48.32073154624809,1.0,1.0,0.0,2.0,0.0,1.0,662.1,191.32,2299.97,199.23,89.37081482553296,11.6369362,0.7904505005666671,0.03422500000000002
0.0,5.222618317316242,3.228284612877619,0.7920302119337592,0.37991038140063604,172.0,45.26517207215943,30.909263128898143,1.0,1.0,0.0,2.0,0.0,1.0,267.79,133.89,3541.71,676.44,87.45365849459031,11.58610619,0.48117699033333283,0.0040929999999999985
1.0,5.14658116713495,3.8497818764156686,0.6729950339492484,0.392804844224906,310.0,34.57719792288191,94.82948099626151,2.0,0.0,0.0,1.0,0.0,0.0,363.25,161.1,2891.72,235.12,68.82900806623248,12.15363125,0.6947932475000002,0.0370575
0.0,5.047106486053615,2.394082387791714,0.5350723275826595,0.3951633181876876,660.0,62.20704544189608,30.1688677144255,0.0,0.0,2.0,1.0,1.0,1.0,4329.73,386.37,1449.88,242.42,69.19073638041257,11.19472359,0.5867104734914281,0.34439742500000015
5.0,5.951001096658625,3.896243712184942,0.5002288148731825,0.18885850005037633,172.0,33.77744511490819,61.97320023171647,1.0,1.0,0.0,2.0,0.0,1.0,2898.65,193.89,2891.13,195.11,57.896211545233434,11.58610567,1.0,0.002776183333333333
