PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,PRSCS_LB,PRSCS_UB,SCS,FTG_HUM_1_LB,FTG_HUM_1_UB,FTG_HUM_1,FTG_HUM_2_LB,FTG_HUM_2_UB,FTG_HUM_2
0,6.957434313,2.913339123,0.5897093594,0.1574586362,572,80.80403148,78.18496774,distr,e,u,foc,y,s,4231.44,255.66,1354.43,361.91,33.07006224,11.53259813,0.0,0.0981446,0,0.9173,0.0135,0.4654,0.0,0.0,0.0
0,6.96,2.91,0.59,0.16,571,80.0,78.0,distr,e,u,foc,y,s,4231.44,255.66,1354.43,361.91,33.0,11.53255844,0.0,0.0981446,0,0.9608,0.0048,0.4828,0.0,0.0,0.0
0,6.96,2.91,0.59,0.16,381,48.0,78.0,distr,e,u,foc,y,s,1786.86,164.57,1354.43,361.91,33.0,11.47528921,0.0,0.0981446,0,0.9555,0.0349,0.4952,0.0071,0.0071,0.0071
4,6.96,2.91,0.59,0.16,1,80.0,78.0,distr,e,u,foc,y,s,1114.93,151.18,2876.81,194.16,33.0,11.36610405,0.0,0.0981446,0,0.9348,0.0643,0.49955,0.0,0.0,0.0
0,6.96,2.91,0.59,0.16,571,80.0,78.0,distr,e,u,foc,y,s,4231.44,255.66,1354.43,361.91,33.0,11.53255844,0.0,0.0981446,0,0.9928,0.0037,0.49825,0.0,0.0,0.0
0,6.96,2.91,0.59,0.16,381,80.0,78.0,distr,e,u,foc,y,s,266.63,131.84,1354.43,361.91,33.0,11.47529288,0.0,0.0981446,0,0.7495,0.0434,0.39645,0.157,0.009,0.083
0,6.96,2.91,0.59,0.16,191,80.0,78.0,distr,e,u,foc,y,s,266.04,133.01,1354.43,361.91,33.0,11.4198241,0.0,0.0981446,0,0.5236,0.3929,0.45825,0.088,0.0015,0.04475
0,6.96,2.91,0.59,0.16,1,80.0,78.0,distr,e,u,foc,y,s,266.04,133.02,1354.43,361.91,33.0,11.36611201,0.0,0.0981446,0,0.5765,0.168,0.37225,0.1229,0.0231,0.073
0,6.96,2.91,0.59,0.16,571,80.0,78.0,distr,e,u,foc,y,s,4231.44,255.66,1354.43,361.91,33.0,11.53255844,0.0,0.0981446,0,0.9307,0.0401,0.4854,0.0,0.0,0.0
0,6.96,2.91,0.59,0.16,381,80.0,78.0,distr,e,u,foc,y,s,843.41,185.28,1354.43,361.91,33.0,11.47528924,0.0,0.0981446,0,0.9154,0.0566,0.486,0.0084,0.0084,0.0084
3,6.96,2.91,0.59,0.16,1,80.0,78.0,distr,e,u,foc,y,s,297.59,133.19,2876.81,194.16,33.0,11.36612177,0.0,0.0981446,0,0.3969,0.3292,0.36305,0.958,0.0045,0.48125
1,5.27,3.48,0.77,0.2,317,47.0,42.0,distr,e,h,foc,e,u,647.35,191.87,3922.45,696.76,45.0,11.25152727,0.417753,0.517731,0,0.9524,0.0,0.4762,0.7534,0.0,0.3767
2,5.27,3.48,0.77,0.2,159,47.0,42.0,distr,e,h,foc,e,u,647.35,191.87,2970.5,198.32,45.0,11.20475649,0.000468738,0.0989152,0,0.7401,0.0045,0.3723,0.0086,0.0086,0.0086
2,5.27,3.48,0.77,0.2,1,47.0,42.0,distr,e,h,foc,e,u,647.35,191.87,2970.5,198.32,45.0,11.15940283,0.0,0.0981446,0,0.7446,0.0,0.3723,0.0278,0.0122,0.02
0,6.129348089,4.355730926,0.7443910888,0.2433873521,499,36.99626352,56.1547568,foc,e,s,foc,e,s,4261.88,758.2,3785.3,270.22,89.09979693,11.16930542,0.0,0.0981446,0,0.6152,0.0,0.3076,0.0,0.0,0.0
0,6.13,4.36,0.74,0.24,498,36.0,56.0,foc,e,s,foc,e,s,4261.88,758.2,3785.3,270.22,89.0,11.16926877,0.0,0.0981446,0,0.6181,0.001,0.30955,0.0,0.0,0.0
1,6.13,4.36,0.74,0.24,166,36.0,56.0,foc,e,s,foc,e,s,402.89,183.86,3785.3,270.22,89.0,11.09418635,0.0,0.0981446,0,0.7106,0.0,0.3553,0.0,0.0,0.0
0,6.13,4.36,0.74,0.24,498,36.0,56.0,foc,e,s,foc,e,s,4261.88,758.2,3785.3,270.22,89.0,11.16926877,0.0,0.0981446,0,0.6171,0.0,0.30855,0.0,0.0,0.0
0,6.13,4.36,0.74,0.24,498,36.0,56.0,foc,e,s,foc,e,s,4261.88,758.2,3785.3,270.22,89.0,11.16926877,0.0,0.0981446,0,0.6161,0.001,0.30855,0.0,0.0,0.0
1,5.94,4.09,0.55,0.34,411,95.0,73.0,free,y,s,distr,y,u,378.77,163.12,1329.85,255.25,44.0,11.38324365,0.4065,0.506436,0,0.3592,0.1188,0.239,0.1887,0.1887,0.1887
1,5.94,4.09,0.55,0.34,206,95.0,73.0,free,y,s,distr,y,u,378.77,163.12,1329.85,255.25,44.0,11.32375454,0.0257282,0.125623,0,0.4366,0.0281,0.23235,0.0217,0.0217,0.0217
1,5.94,4.09,0.55,0.34,1,95.0,73.0,free,y,s,distr,y,u,378.77,163.12,1329.85,255.25,44.0,11.26621843,0.0,0.0981446,0,0.2634,0.2146,0.239,0.0503,0.0503,0.0503
1,5.9,3.15,0.65,0.23,270,96.0,18.0,free,y,s,free,e,u,615.86,192.81,1142.11,759.64,95.0,12.32227142,0.0,0.0981446,0,0.8261,0.0061,0.4161,0.999,0.0,0.4995
1,5.9,3.15,0.65,0.23,135,96.0,30.0,free,y,s,free,e,u,615.86,192.81,1371.8,217.54,95.0,12.28255262,0.0,0.0981446,0,0.4288,0.0,0.2144,0.8818,0.0,0.4409
1,5.9,3.15,0.65,0.23,270,96.0,18.0,free,y,s,free,e,u,537.9,195.31,1172.11,759.79,95.0,12.32227979,0.0,0.0981446,0,0.8262,0.0,0.4131,0.999,0.0,0.4995
1,5.9,3.15,0.65,0.23,135,96.0,30.0,free,y,s,free,e,u,537.9,195.31,1371.8,217.54,95.0,12.28256139,0.0,0.0981446,0,0.4386,0.0098,0.2242,0.9997,0.0,0.49985
1,5.9,3.15,0.65,0.23,270,96.0,18.0,free,y,s,free,e,u,519.91,196.0,1142.11,759.64,95.0,12.32228789,0.0,0.0981446,0,0.8345,0.0144,0.42445,0.999,0.0,0.4995
1,5.9,3.15,0.65,0.23,135,96.0,30.0,free,y,s,free,e,u,519.91,196.0,1371.8,217.54,95.0,12.28256613,0.0,0.0981446,0,0.4288,0.0,0.2144,0.8817,0.0041,0.4429
0,6.390427215,3.210549562,0.611399173,0.2677713098,364,90.13604546,78.78876294,distr,e,u,distr,y,h,1975.07,415.23,4004.57,246.63,75.74198069,11.74627951,0.0,0.0981446,0,0.9104,0.0388,0.4746,0.0,0.0,0.0
0,6.39,3.21,0.61,0.27,363,90.0,78.0,distr,e,u,distr,y,h,1975.07,415.23,4004.57,246.63,75.0,11.74625508,0.0,0.0981446,0,0.9613,0.0,0.48065,0.0163,0.0163,0.0163
0,6.39,3.21,0.61,0.27,242,90.0,78.0,distr,e,u,distr,y,h,246.95,120.77,4004.57,246.63,75.0,11.70956329,0.0,0.0981446,0,0.585,0.1179,0.35145,0.0149,0.0051,0.01
0,6.39,3.21,0.61,0.27,121,90.0,78.0,distr,e,u,distr,y,h,245.91,122.83,4004.57,246.63,75.0,11.67338544,0.0,0.0981446,0,0.62,0.0671,0.34355,0.0226,0.0011,0.01185
0,6.39,3.21,0.61,0.27,363,90.0,78.0,distr,e,u,distr,y,h,1975.07,415.23,4004.57,246.63,75.0,11.74625508,0.000468738,0.0989152,0,0.4776,0.4776,0.4776,0.0,0.0,0.0
0,6.39,3.21,0.61,0.27,242,90.0,78.0,distr,e,u,distr,y,h,246.95,120.77,4004.57,246.63,75.0,11.70956403,0.0,0.0981446,0,0.3393,0.0691,0.2042,0.0308,0.0021,0.01645
0,6.39,3.21,0.61,0.27,121,90.0,78.0,distr,e,u,distr,y,h,245.91,122.83,4004.57,246.63,75.0,11.67337228,0.0,0.0981446,0,0.2336,0.2336,0.2336,0.0246,0.0001,0.01235
0,6.39,3.21,0.61,0.27,363,90.0,78.0,distr,e,u,distr,y,h,1975.07,415.23,4004.57,246.63,75.0,11.74625508,0.0,0.0981446,0,0.9007,0.0904,0.49555,0.0,0.0,0.0
0,6.39,3.21,0.61,0.27,242,90.0,78.0,distr,e,u,distr,y,h,326.88,162.15,4004.57,246.63,75.0,11.7095537,0.000468738,0.0989152,0,0.3848,0.3504,0.3676,0.0282,0.0037,0.01595
0,6.39,3.21,0.61,0.27,121,90.0,78.0,distr,e,u,distr,y,h,245.91,122.83,4004.57,246.63,75.0,11.67336019,0.0,0.0981446,0,0.4084,0.0,0.2042,0.0323,0.0013,0.0168
1,6.12,4.05,0.67,0.23,311,47.0,47.0,distr,y,s,distr,e,u,693.8,191.03,3411.67,750.93,51.0,11.17900699,0.0,0.0981446,0,0.8333,0.0159,0.4246,0.0,0.0,0.0
2,6.12,4.05,0.67,0.23,156,47.0,47.0,distr,y,s,distr,e,u,693.8,191.03,1726.65,194.84,51.0,11.13342642,0.0,0.0981446,0,0.5836,0.109,0.3463,0.0122,0.0055,0.00885
1,6.12,4.05,0.67,0.23,311,47.0,47.0,distr,y,s,distr,e,u,693.95,190.17,3411.67,750.93,51.0,11.17901294,0.0,0.0981446,0,0.7344,0.1512,0.4428,0.7484,0.0116,0.38
2,6.12,4.05,0.67,0.23,156,47.0,47.0,distr,y,s,distr,e,u,693.95,190.17,1587.6,194.37,51.0,11.13343223,0.0,0.0981446,0,0.5554,0.1526,0.354,0.0891,0.0175,0.0533
1,6.12,4.05,0.67,0.23,311,47.0,47.0,distr,y,s,distr,e,u,785.76,188.18,2076.39,195.5,51.0,11.17900699,0.123934,0.223566,0,0.4064,0.019,0.2127,0.3497,0.3497,0.3497
1,5.41,3.39,0.67,0.11,183,32.0,30.0,free,e,s,foc,e,h,836.12,210.0,2641.97,178.4,60.0,11.24179038,0.0,0.0981446,0,0.4516,0.0042,0.2279,0.1975,0.0,0.09875
1,5.41,3.39,0.67,0.11,183,32.0,30.0,free,e,s,foc,e,h,817.12,209.57,2641.97,178.4,60.0,11.24178579,0.0,0.0981446,0,0.4404,0.0042,0.2223,0.1831,0.0184,0.10075
1,5.41,3.39,0.67,0.11,183,32.0,30.0,free,e,s,foc,e,h,830.12,209.87,2671.96,177.88,60.0,11.24178958,0.0,0.0981446,0,0.4408,0.0014,0.2211,0.2014,0.008,0.1047
0,6.258245067,2.384480131,0.7677434414,0.3862462485,471,72.45963064,59.46068142,foc,e,u,free,y,h,1732.13,371.8,322.29,266.87,92.07693769,12.27885978,0.0,0.0981446,0,0.8754,0.0822,0.4788,0.0247,0.0005,0.0126
0,6.26,2.38,0.77,0.39,470,72.0,59.0,foc,e,u,free,y,h,1732.13,371.8,322.29,266.87,92.0,12.27882619,0.00358196,0.102241,0,0.8039,0.0175,0.4107,0.0247,0.0,0.01235
0,6.26,2.38,0.77,0.39,470,72.0,59.0,foc,e,u,free,y,h,1732.13,371.8,322.29,266.87,92.0,12.27882619,0.0,0.0981446,0,0.8275,0.0002,0.41385,0.0242,0.0,0.0121
0,6.26,2.38,0.77,0.39,470,72.0,59.0,foc,e,u,free,y,h,1732.13,371.8,322.29,266.87,92.0,12.27882619,0.0,0.0981446,0,0.8242,0.0031,0.41365,0.0247,0.0005,0.0126
0,5.483097179,2.625244337,0.6477111711,0.1690320131,537,38.3965987,65.5313179,foc,y,u,foc,e,u,3572.83,278.65,1329.62,782.03,37.85550584,11.31752291,0.0,0.0981446,0,0.8884,0.006,0.4472,0.0172,0.0172,0.0172
0,5.48,2.63,0.65,0.17,536,38.0,65.0,foc,y,u,foc,e,u,3572.83,278.65,1329.62,782.03,37.0,11.31748321,0.0,0.0981446,0,0.8626,0.0007,0.43165,0.067,0.0326,0.0498
0,5.48,2.63,0.65,0.17,357,23.0,65.0,foc,y,u,foc,e,u,1404.45,167.09,1329.62,782.03,37.0,11.263237,0.0,0.0981446,0,0.9146,0.0009,0.45775,0.9621,0.0007,0.4814
3,5.48,2.63,0.65,0.17,178,23.0,65.0,foc,y,u,foc,e,u,500.38,185.11,2874.12,194.38,37.0,11.21125183,0.0,0.0981446,0,0.7534,0.0,0.3767,0.78,0.0135,0.39675
0,5.48,2.63,0.65,0.17,536,38.0,65.0,foc,y,u,foc,e,u,3572.83,278.65,1329.62,782.03,37.0,11.31748321,0.0,0.0981446,0,0.8709,0.002,0.43645,0.1649,0.1305,0.1477
0,5.48,2.63,0.65,0.17,357,38.0,65.0,foc,y,u,foc,e,u,1405.24,166.13,1329.62,782.03,37.0,11.26322504,0.0,0.0981446,0,0.918,0.0,0.459,0.9627,0.0,0.48135
3,5.48,2.63,0.65,0.17,178,38.0,65.0,foc,y,u,foc,e,u,471.53,185.7,2874.12,194.38,37.0,11.2112581,0.0,0.0981446,0,0.7503,0.0031,0.3767,0.831,0.07,0.4505
0,5.48,2.63,0.65,0.17,536,38.0,65.0,foc,y,u,foc,e,u,3572.83,278.65,1329.62,782.03,37.0,11.31748321,0.0,0.0981446,0,0.8711,0.0085,0.4398,0.0338,0.0338,0.0338
0,5.48,2.63,0.65,0.17,357,38.0,65.0,foc,y,u,foc,e,u,1360.47,168.56,1329.62,782.03,37.0,11.26323948,0.0,0.0981446,0,0.912,0.0009,0.45645,0.9614,0.0,0.4807
3,5.48,2.63,0.65,0.17,178,23.0,65.0,foc,y,u,foc,e,u,487.52,185.31,2874.12,194.38,37.0,11.21125759,0.0,0.0981446,0,0.7503,0.0031,0.3767,0.7793,0.0215,0.4004
0,5.587365843,2.595963812,0.5644867794,0.2625794053,378,59.79008117,92.8106596,free,e,s,free,y,s,4161.81,215.39,2432.66,613.06,85.96867024,12.37729112,0.0,0.0981446,0,0.657,0.0,0.3285,0.0,0.0,0.0
0,5.59,2.6,0.56,0.26,377,59.0,92.0,free,e,s,free,y,s,4161.81,215.39,2432.66,613.06,85.0,12.37726363,0.0,0.0981446,0,0.6587,0.0,0.32935,0.0,0.0,0.0
1,5.59,2.6,0.56,0.26,125,59.0,92.0,free,e,s,free,y,s,402.49,174.57,2432.66,613.06,85.0,12.3013867,0.0,0.0981446,0,0.6101,0.003,0.30655,0.1436,0.0,0.0718
0,5.59,2.6,0.56,0.26,377,59.0,92.0,free,e,s,free,y,s,4161.81,215.39,2432.66,613.06,85.0,12.37726363,0.0,0.0981446,0,0.657,0.0,0.3285,0.0,0.0,0.0
