Iteration_duration,PSCS__TAU
4.550690174102783,462
4.1729819774627686,583
4.285006046295166,110
4.230388879776001,165
4.315922260284424,170
4.40127420425415,518
4.456807851791382,600
4.659711837768555,495
4.468294143676758,1
4.430797815322876,405
4.316210031509399,558
4.406033039093018,498
4.560048341751099,431
4.423546075820923,419
4.429013967514038,1
4.330985069274902,376
4.345638036727905,171
4.330831289291382,693
4.386659860610962,662
4.346695899963379,380
4.403052091598511,1
4.458952903747559,405
4.445597887039185,120
4.625852108001709,316
4.361150026321411,378
4.330345153808594,385
4.328016042709351,415
4.320305109024048,571
4.367862939834595,214
4.357196092605591,578
4.331583023071289,186
4.301533937454224,224
4.3318750858306885,1
4.331421136856079,214
4.367050886154175,275
4.317631006240845,588
4.322675943374634,1
4.354867935180664,345
4.433031797409058,219
4.331851005554199,279
4.3224217891693115,463
4.301367998123169,1
4.338939189910889,253
4.329433917999268,360
4.330420017242432,285
4.393733263015747,376
4.33430027961731,313
4.35150408744812,1
4.459787130355835,181
4.356348276138306,695
4.346237897872925,366
4.338107109069824,168
4.318057060241699,109
4.338194847106934,687
4.346055030822754,165
4.335721969604492,360
4.490362882614136,202
4.373900890350342,1
4.319390058517456,138
4.330299139022827,232
4.357524871826172,694
4.469351053237915,428
4.3320019245147705,167
4.337106227874756,290
4.338412046432495,135
4.322087049484253,135
4.3691442012786865,1
4.334247827529907,170
4.329642057418823,274
4.412515163421631,183
4.342237949371338,98
4.346920967102051,336
4.3434717655181885,242
4.4348578453063965,564
4.483428001403809,291
4.4164159297943115,462
4.4836061000823975,186
5.528759717941284,94
4.4476001262664795,92
5.643456935882568,192
4.489264011383057,628
4.463477849960327,578
4.366026878356934,526
4.47836709022522,110
4.395965099334717,232
4.511398077011108,246
4.3589301109313965,121
4.378504037857056,250
4.412771940231323,167
4.352874994277954,513
4.3558759689331055,144
4.496105909347534,100
4.457589149475098,156
4.32358717918396,231
4.3380210399627686,329
4.361459016799927,273
4.345757961273193,502
4.39466404914856,221
4.423763036727905,1
4.492373943328857,661
4.337553024291992,503
4.350419282913208,246
4.3442301750183105,345
4.470731973648071,206
4.41848611831665,171
4.410602807998657,337
4.344264984130859,1
4.331110000610352,195
4.3380889892578125,294
4.4840569496154785,603
4.9733726978302,381
4.610136985778809,89
4.561514854431152,315
4.582641839981079,411
4.5100977420806885,508
4.487604856491089,193
4.449773073196411,687
4.582488059997559,171
4.6187028884887695,168
4.530409812927246,330
4.332707166671753,199
4.338762998580933,518
4.337877988815308,231
4.429637908935547,165
4.425680160522461,219
4.983091115951538,1
4.450722932815552,166
4.494346857070923,389
4.44165301322937,396
4.417353868484497,156
4.493928909301758,466
4.37854790687561,372
4.518796920776367,305
4.455670118331909,240
4.412942171096802,427
4.34149694442749,91
4.517882823944092,143
4.349950075149536,201
4.322116851806641,110
4.335721015930176,193
4.489986896514893,1
5.127747058868408,89
4.646885871887207,419
4.630187034606934,434
4.487237930297852,545
4.484257936477661,428
4.748528957366943,168
4.563414812088013,112
4.726135015487671,237
4.537589073181152,496
4.477049112319946,84
4.542579174041748,253
4.430004119873047,345
4.415640830993652,106
4.5790770053863525,1
4.579293966293335,364
4.5959789752960205,1
4.605934143066406,463
4.603154897689819,110
4.477393865585327,1
4.431195020675659,592
