PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
0,7.057949886807013,2.0769736045513696,0.7757725305271079,0.2540572194405204,633.7472527499145,77.16693822555575,68.19987437279963,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,81.74293578203184,12.17367891,0.5207519543476188,0.016385249999999997
0,7.057949886807013,2.0769736045513696,0.7757725305271079,0.2540572194405204,633.7472527499145,77.16693822555575,68.19987437279963,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,81.74293578203184,12.17363616,0.5207519543476188,0.016385249999999997
3,5.180318411474315,3.991130733799328,0.7794175958086186,0.3349479424326736,425.6011542278569,44.46198341465916,51.33223927800229,distr,y,u,free,e,s,393.08,160.03,2878.52,194.36,61.27024629028743,12.11337733,0.8083452645714293,0.020240000000000005
0,7.057949886807013,2.0769736045513696,0.7757725305271079,0.2540572194405204,633.7472527499145,77.16693822555575,68.19987437279963,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,81.74293578203184,12.17363616,0.5207519543476188,0.016385249999999997
3,6.5356754435351805,3.8139181827629764,0.7704015581822893,0.3345318978751501,369.17271560272815,65.76283872915486,59.26849723863978,distr,y,u,free,e,s,283.37,226.93,2878.52,194.36,83.16122016321934,11.99911534,0.8389580919166675,0.02111191666666666
0,7.057949886807013,2.0769736045513696,0.7757725305271079,0.2540572194405204,633.7472527499145,77.16693822555575,68.19987437279963,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,81.74293578203184,12.17363616,0.5207519543476188,0.016385249999999997
3,5.998391751876465,3.8447802031313754,0.7603566703243599,0.35120073288088455,366.10676979288024,44.5813527920788,48.913510532207304,distr,y,u,free,e,s,386.67,164.94,2878.52,194.36,77.68604830563284,12.11336319,0.7868041642380955,0.022383
3,5.336893455263826,3.8910365970290917,0.7511016057746267,0.2868212103235599,373.9647962801124,68.25517980319974,52.84130655093006,distr,y,u,free,e,s,386.67,164.94,2878.52,194.36,66.42314242062893,12.05502496,0.7676202146899999,0.01925166666666667
3,6.8098779455541685,3.6464016967442907,0.7508266430629644,0.2968810241863229,422.4325078536754,49.26571109765617,52.79704061814378,distr,y,u,free,e,s,386.67,164.94,2878.52,194.36,66.40660849774031,11.99915234,0.8299645171900003,0.021302833333333337
0,5.2585796395502244,4.459781492459505,0.6270918407453333,0.33580140698610206,354.9949078628258,32.385268193550594,37.54157631807959,distr,e,u,free,e,u,3115.69,584.43,138.53,411.75,81.50984612145594,11.22286933,0.549864836956666,0.048744088095238114
