Iteration_duration,PSCS__TAU
5.08024787902832,462
4.6943278312683105,583
4.88146710395813,110
4.682299852371216,165
4.551605939865112,170
4.638731002807617,518
4.492300033569336,600
4.60276985168457,495
4.573744058609009,1
4.50148606300354,405
4.495191812515259,558
4.650149822235107,498
4.7998621463775635,431
4.579505920410156,419
4.512362957000732,1
4.551995038986206,376
4.492571830749512,171
4.503326416015625,693
4.7524800300598145,662
4.541708946228027,380
4.580971002578735,1
4.602788925170898,405
4.655925035476685,120
4.518632173538208,316
4.50103497505188,378
4.570105075836182,385
4.58388614654541,415
4.636461019515991,571
4.5690648555755615,214
4.527833938598633,578
4.591001749038696,186
4.522965908050537,224
4.9172186851501465,1
4.785049200057983,214
4.74797797203064,275
4.5924599170684814,588
5.130545377731323,1
4.675127983093262,345
4.700841903686523,219
4.848081111907959,279
4.731269836425781,463
4.952985048294067,1
4.885639905929565,253
4.850534915924072,360
5.132145881652832,285
4.8375771045684814,376
4.915647983551025,313
4.881869792938232,1
4.595832109451294,181
4.648514747619629,695
4.632923126220703,366
4.541231155395508,168
4.592592000961304,109
4.596897125244141,687
4.686676025390625,165
4.831853151321411,360
4.761781930923462,202
4.983842134475708,1
4.7592079639434814,138
4.894958972930908,232
5.034725189208984,694
4.616379976272583,428
4.638209104537964,167
4.5265419483184814,290
4.566012859344482,135
4.48134183883667,135
4.555510759353638,1
4.613558053970337,170
4.686052083969116,274
4.632189989089966,183
4.757704019546509,98
4.839571237564087,336
4.839642763137817,242
4.918182849884033,564
4.594983816146851,291
4.534253835678101,462
4.646076917648315,186
4.581744194030762,94
4.7163848876953125,92
4.717275142669678,192
4.785285711288452,628
4.625415325164795,578
4.697713375091553,526
5.092737197875977,110
4.7620627880096436,232
4.756854057312012,246
4.655557870864868,121
4.829898118972778,250
4.614630937576294,167
4.752580165863037,513
4.638867139816284,144
4.599538087844849,100
4.554023027420044,156
4.551436901092529,231
4.640444755554199,329
4.652904987335205,273
4.894964218139648,502
4.77961802482605,221
4.522469997406006,1
4.57705283164978,661
4.590626955032349,503
4.637842893600464,246
4.623748064041138,345
4.6117658615112305,206
4.587330102920532,171
4.535758972167969,337
4.684845685958862,1
4.630186080932617,195
4.55739688873291,294
4.532305955886841,603
4.579003810882568,381
4.625128269195557,89
4.606108903884888,315
4.725184917449951,411
4.7514708042144775,508
4.724854946136475,193
4.596270799636841,687
4.599964141845703,171
4.868573188781738,168
4.704914808273315,330
4.787843227386475,199
4.827379941940308,518
4.599901914596558,231
4.686613082885742,165
4.734505891799927,219
5.018656969070435,1
4.596343994140625,166
4.642662286758423,389
4.499740839004517,396
4.495856761932373,156
4.467890977859497,466
4.6327598094940186,372
4.53730583190918,305
4.610227108001709,240
4.5251851081848145,427
4.604578018188477,91
4.732522964477539,143
4.509221076965332,201
4.473067045211792,110
4.48810601234436,193
