PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
0.0,5.028838427624526,2.107139387307427,0.7656108717000274,0.11406550497828336,683.5685107854174,97.42800300870178,36.856587686323344,1.0,0.0,2.0,2.0,1.0,1.0,283.37,226.93,561.99,775.95,41.06216235191421,12.17367891,0.5275290197499998,0.24221549880952384
0.0,5.023695262417893,2.130333895562596,0.6941777334162462,0.256856672793557,636.6412499493055,97.14415476164785,39.62431165863362,1.0,0.0,2.0,2.0,1.0,1.0,283.37,226.93,561.99,775.95,37.20789277142183,12.17363616,0.518110604083333,0.25007114880952386
3.0,5.224645941082176,3.6393462627740907,0.6577952419229196,0.3891672946756923,443.1874271234147,30.008984767812265,30.123898242897145,1.0,0.0,2.0,2.0,1.0,1.0,393.08,160.03,2878.52,194.36,90.6185385437537,12.11337733,0.6162556719999999,0.26544258333333326
0.0,5.023695262417893,2.130333895562596,0.6941777334162462,0.256856672793557,636.6412499493055,97.14415476164785,39.62431165863362,1.0,0.0,2.0,2.0,1.0,1.0,283.37,226.93,561.99,775.95,37.20789277142183,12.17363616,0.518110604083333,0.25007114880952386
3.0,5.242230103241528,4.01502132378578,0.6158758595995896,0.37030114458935054,544.2670705028181,65.07066982666699,30.006502458802633,1.0,0.0,2.0,2.0,1.0,1.0,283.37,226.93,2878.52,194.36,86.93708210975709,11.99911534,0.6543745058333328,0.23134235416666674
0.0,5.023695262417893,2.130333895562596,0.6941777334162462,0.256856672793557,636.6412499493055,97.14415476164785,39.62431165863362,1.0,0.0,2.0,2.0,1.0,1.0,283.37,226.93,561.99,775.95,37.20789277142183,12.17363616,0.518110604083333,0.25007114880952386
3.0,7.310820287167479,2.20969185528923,0.7603105192285111,0.36817770138498207,464.52775247309063,31.384563365281785,30.291539743030555,1.0,0.0,2.0,2.0,1.0,1.0,386.67,164.94,2878.52,194.36,41.21536754599204,12.11336319,0.5079235237799999,0.23595291666666662
3.0,7.312245438762597,2.442912547615508,0.7680435520117449,0.3584577262474004,482.53876379487014,30.69713071221435,37.37369303714636,1.0,0.0,2.0,2.0,1.0,1.0,386.67,164.94,2878.52,194.36,83.79001818541643,12.05502496,0.5942066594,0.2410059166666666
3.0,7.462870186177661,2.2623520911027137,0.7748413700643288,0.3599955186509912,514.3569369958283,53.12246874785019,37.92377874801947,1.0,0.0,2.0,2.0,1.0,1.0,386.67,164.94,2878.52,194.36,86.73770455016873,11.99915234,0.5906703638999999,0.22708333333333328
0.0,5.149845092220738,3.8392309308523718,0.7591803280433468,0.39403089359013554,429.97597432056756,34.87038851462892,30.498465367710068,1.0,1.0,2.0,2.0,1.0,2.0,3115.69,584.43,138.53,411.75,59.21996056823849,11.22286933,0.5148072466499996,0.36387947976190466
0.0,6.865973169430823,3.3671990887757692,0.7795940822353856,0.1280802379683421,498.3800432684741,30.14065724404693,33.52100522517317,1.0,1.0,2.0,2.0,1.0,2.0,3115.69,584.43,138.53,411.75,60.190787934217326,11.22282963,0.16387844955309544,0.34453991666666667
0.0,5.035488060723864,2.0934490390923526,0.756839233787457,0.11470539191828671,673.4886655411295,95.12907166528299,35.747296719747084,1.0,1.0,2.0,2.0,1.0,2.0,925.36,181.87,138.53,411.75,87.71848330720383,11.16857777,0.48618689241666646,0.32232888333333326
0.0,6.865973169430823,3.3671990887757692,0.7795940822353856,0.1280802379683421,498.3800432684741,30.14065724404693,33.52100522517317,1.0,1.0,2.0,2.0,1.0,2.0,3115.69,584.43,138.53,411.75,60.190787934217326,11.22282963,0.16387844955309544,0.34453991666666667
0.0,7.405232816486682,2.5236177997098923,0.7919594155512215,0.18353984467713444,531.3852854966705,39.72984205725905,30.42311185460629,1.0,1.0,2.0,2.0,1.0,2.0,1909.3,165.27,138.53,411.75,93.40783300330668,11.16857676,0.3143568099255236,0.2987465749999999
0.0,6.865973169430823,3.3671990887757692,0.7795940822353856,0.1280802379683421,498.3800432684741,30.14065724404693,33.52100522517317,1.0,1.0,2.0,2.0,1.0,2.0,3115.69,584.43,138.53,411.75,60.190787934217326,11.22282963,0.16387844955309544,0.34453991666666667
0.0,5.03057534775925,2.0964807202588602,0.7866035742756498,0.18661489344570292,498.24256618253884,31.674871913813938,32.47514155352714,1.0,1.0,2.0,2.0,1.0,2.0,548.54,194.9,138.53,411.75,39.09588214641596,11.16858303,0.48305616126190465,0.268801625
0.0,5.1289021716823475,2.190725364772934,0.5031692783025508,0.3861277877031477,441.82662241761716,97.88510968919016,30.304195883566813,1.0,1.0,2.0,2.0,0.0,0.0,1867.55,234.08,2356.35,560.55,46.71377469117391,11.9281727,0.5635468244833328,0.409825632142857
0.0,5.036322742110304,3.671149806169191,0.6779264988870076,0.39213187558386503,278.3143337352233,32.47854861467503,36.629220546884554,1.0,1.0,2.0,2.0,0.0,0.0,1867.55,234.08,2356.35,560.55,40.23536199480157,11.92814216,0.6436836104999993,0.42815793214285697
3.0,7.359286908177893,3.393649505975289,0.5037393976110296,0.39030702801901523,466.50055599960007,56.339540186972506,30.43416330676636,1.0,1.0,2.0,2.0,0.0,0.0,489.61,175.89,2886.28,195.34,84.0135920328745,11.8433051,0.7433029018999998,0.2601075
0.0,5.036322742110304,3.671149806169191,0.6779264988870076,0.39213187558386503,278.3143337352233,32.47854861467503,36.629220546884554,1.0,1.0,2.0,2.0,0.0,0.0,1867.55,234.08,2356.35,560.55,40.23536199480157,11.92814216,0.6436836104999993,0.42815793214285697
0.0,5.036322742110304,3.671149806169191,0.6779264988870076,0.39213187558386503,278.3143337352233,32.47854861467503,36.629220546884554,1.0,1.0,2.0,2.0,0.0,0.0,1867.55,234.08,2356.35,560.55,40.23536199480157,11.92814216,0.6436836104999993,0.42815793214285697
1.0,6.653679366394835,3.3892501909281623,0.5121113030184781,0.37656707535588907,466.21009213223437,66.11047962824284,41.167219396459316,0.0,1.0,1.0,1.0,0.0,2.0,58.26,254.49,1727.25,213.81,72.72017209953664,11.52248231,0.6583589608092854,0.1990015
4.0,6.658485493511387,3.480161520847133,0.5424910898652635,0.37694861715967154,327.56314844962236,72.18673540182198,59.5419143579657,0.0,1.0,1.0,1.0,0.0,2.0,1916.89,183.23,2790.44,200.64,91.63657003669535,11.47056211,0.9075385080000009,0.15393162500000007
0.0,5.105611046306708,3.3190737351664863,0.628930060275268,0.3843858898156935,502.2152305096593,99.93978623206435,60.942899098672314,2.0,1.0,1.0,2.0,1.0,0.0,3992.77,789.41,1400.13,767.97,78.46051210201927,11.19722639,0.635649629971428,0.16912375000000004
0.0,5.0235358668283485,3.5683094634722425,0.5018407920585126,0.3341159735320551,501.87896806555676,42.747084056101514,36.90514218441369,2.0,1.0,1.0,2.0,1.0,0.0,3992.77,789.41,1400.13,767.97,75.90308835555443,11.19720196,0.7364252915,0.18115118571428565
0.0,5.0235358668283485,3.5683094634722425,0.5018407920585126,0.3341159735320551,501.87896806555676,42.747084056101514,36.90514218441369,2.0,1.0,1.0,2.0,1.0,0.0,3992.77,789.41,1400.13,767.97,75.90308835555443,11.19720196,0.7364252915,0.18115118571428565
