RF,DT,NN,GBM,XGB
0.7374429223744292,0.730593607305936,0.7366818873668188,0.8153221714865551,0.8153221714865551
0.863013698630137,0.8203957382039573,0.8878741755454085,0.8718924403855911,0.8718924403855911
0.7787924911212583,0.7744799594114663,0.9259259259259259,0.9117199391171994,0.9117199391171994
0.9290674603174603,0.8839285714285714,0.8998015873015873,0.9146825396825397,0.9146825396825397
0.8968253968253969,0.8194444444444443,0.9087301587301587,0.861111111111111,0.861111111111111
0.7442956349206349,0.5337301587301587,0.7440476190476191,0.6899801587301587,0.6899801587301587
0.7247023809523809,0.6130952380952381,0.8338293650793651,0.7162698412698413,0.7162698412698413
0.9042658730158729,0.8055555555555557,0.9241071428571428,0.9712301587301587,0.9712301587301587
0.8067956349206349,0.8571428571428572,0.8993055555555556,0.8695436507936507,0.8695436507936507
0.7891865079365079,0.615079365079365,0.9439484126984127,0.802579365079365,0.802579365079365
